Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
21,5,2010,121812,0,0,0,13.29,1995,147.6,5.0,7.75
17,5,2010,39300,1,1,0,18.2,998,67.1,5.0,2.25
26,9,2017,22000,0,1,0,13.68,2393,147.8,8.0,16.5
8,1,2010,72000,0,1,0,20.0,1399,68,5.0,2.75
18,4,2015,58000,1,0,0,11.74,1796,186,5.0,26.7
18,10,2011,65000,0,1,2,15.8,2148,170,5.0,10.0
25,2,2016,178000,0,1,0,25.0,1396,69,5.0,2.5
1,6,2012,65664,0,0,0,16.55,1968,140,5.0,13.5
9,9,2007,63000,1,0,2,16.4,1497,78,5.0,1.85
18,3,2019,15369,0,0,0,0.0,1950,194,5.0,35.67
17,10,2016,63000,0,1,0,24.52,1248,88.5,7.0,8.15
10,9,2018,13000,0,1,0,22.1,1396,88.7,5.0,10.5
22,9,2008,73000,1,0,0,8.5,4806,500,5.0,14.5
16,9,2015,55729,0,1,0,15.1,2179,140,7.0,9.65
10,7,2012,45178,1,0,0,16.95,1197,78.9,5.0,3.48
21,7,2015,56066,0,1,0,19.64,1461,108.5,5.0,6.92
9,3,2016,37300,1,0,2,16.5,1198,86.8,5.0,6.46
1,4,2014,56000,0,0,2,18.53,1968,187.74,5.0,29.5
26,2,2006,230000,1,1,3,12.4,1998,132,8.0,4.5
26,5,2012,104000,0,1,0,12.8,2494,102,7.0,11.75
17,6,2012,95100,0,1,0,22.9,1248,74,5.0,3.75
25,10,2017,70000,1,1,0,17.57,1193,88.7,5.0,4.5
9,7,2016,54944,1,1,0,18.0,1198,86.7,5.0,4.82
8,5,2012,70337,0,1,0,20.0,1399,68,5.0,2.8
17,6,2013,99638,0,1,0,23.2,1248,73.94,5.0,3.11
9,4,2009,52000,1,1,0,17.8,1497,117.3,5.0,3.25
2,4,2011,75000,0,0,2,16.73,1995,218,5.0,13.9
10,10,2009,95980,1,1,0,20.36,1197,78.9,5.0,2.25
10,1,2016,16000,1,1,0,18.9,1197,82,5.0,5.75
9,9,2016,18949,1,1,0,17.8,1198,86.7,5.0,5.0
26,4,2014,107000,0,1,0,13.0,2982,168.5,7.0,16.5
1,3,2018,48367,0,0,0,17.68,1968,174.33,5.0,39.58
8,4,2013,57000,0,1,0,22.7,1498,89.84,5.0,5.5
16,4,2014,58000,0,1,0,15.1,2179,140,7.0,8.1
9,8,2015,30000,0,1,0,25.8,1498,98.6,5.0,3.5
27,8,2013,34212,0,1,0,22.07,1199,73.9,5.0,2.79
10,0,2010,70002,0,1,0,16.2,1493,110,5.0,3.45
17,1,2016,62000,1,1,0,18.9,998,67.1,5.0,4.45
27,4,2010,62001,1,1,0,15.26,1598,103.5,5.0,2.65
10,10,2011,78958,0,1,2,23.0,1396,90,5.0,3.8
10,9,2014,30180,1,1,0,18.5,1197,82.85,5.0,4.65
5,10,2017,32851,1,1,0,19.83,1198,67,7.0,3.95
1,8,2010,30000,0,0,0,14.94,2967,241.4,5.0,9.8
10,10,2009,66000,1,1,2,17.0,1197,80,5.0,2.7
17,3,2010,93850,1,1,0,14.0,796,35,5.0,2.41
26,0,2014,53000,1,1,0,17.71,1197,78.9,5.0,3.9
12,5,2011,78000,0,0,2,14.74,2993,270.9,5.0,24.0
16,4,2012,65000,0,1,2,16.0,2179,140,7.0,5.75
10,8,2014,40000,0,0,0,22.32,1582,126.32,5.0,5.25
26,9,2017,30000,0,0,0,11.36,2755,171.5,7.0,19.25
17,3,2017,38053,1,1,0,15.1,1196,73,5.0,3.91
25,1,2014,25500,1,1,0,25.4,624,37.5,4.0,2.15
2,9,2015,56087,0,0,0,22.69,1995,190,5.0,20.75
9,4,2010,71088,1,1,0,13.5,1799,130,5.0,3.35
26,0,2014,55000,0,1,0,12.99,2494,100.6,7.0,11.11
28,1,2014,32700,0,0,0,23.3,1984,150,5.0,20.0
21,3,2016,39882,1,0,0,19.15,1198,75.94,5.0,6.55
2,9,2009,128000,1,0,0,10.8,2497,215,5.0,7.0
17,9,2016,55000,0,1,0,24.3,1248,88.5,5.0,7.5
18,10,2014,53753,0,0,2,15.0,2143,107.3,5.0,16.75
10,8,2018,10250,0,1,0,22.0,1582,126.2,5.0,10.95
17,10,2011,43874,1,1,0,18.9,998,67.1,5.0,2.45
25,3,2017,32684,1,0,0,21.9,624,37.48,4.0,3.23
16,8,2014,42000,0,1,0,12.05,2179,120,8.0,7.75
18,8,2009,28352,1,0,0,11.7,1796,178,5.0,9.35
9,1,2007,47700,1,1,2,10.8,2354,152,5.0,5.25
27,10,2015,55000,0,0,0,21.21,1498,103.2,5.0,7.25
17,7,2017,44285,1,1,0,20.73,1373,91.1,5.0,7.47
16,6,2016,54000,0,0,0,16.0,2179,140,7.0,13.25
17,3,2016,30232,1,1,0,21.1,1197,85.80,5.0,5.81
17,5,2014,88500,1,1,0,24.07,998,67.1,5.0,2.6
18,8,2017,13372,1,0,0,19.0,2996,362.07,2.0,54.0
10,7,2019,12645,1,0,0,17.0,1591,121.3,5.0,11.5
17,2,2010,94385,1,1,2,19.7,796,46.3,5.0,1.6
2,3,2015,31821,0,0,0,20.58,1995,143,5.0,17.22
9,9,2015,12000,1,0,0,19.0,1199,88.7,5.0,6.0
9,4,2012,88578,1,1,0,13.5,1799,130,5.0,3.95
18,7,2014,44965,0,0,0,19.27,2143,170,5.0,17.95
9,8,2014,45044,0,1,0,25.8,1498,98.6,5.0,3.7
17,7,2016,34204,1,1,0,22.0,1197,81.80,5.0,5.43
26,3,2012,91235,0,1,0,11.5,2982,171,7.0,13.49
4,10,2014,38800,1,1,0,18.6,1199,76.8,5.0,2.85
24,2,2013,83000,0,1,0,21.14,1498,103.52,5.0,4.75
17,7,2018,41283,1,1,0,20.73,1373,91.1,5.0,9.9
1,9,2013,23000,1,0,0,11.05,2894,444,4.0,37.0
2,9,2014,48000,0,0,0,21.76,1995,190,5.0,26.5
1,3,2015,48214,0,0,0,17.11,1968,174.33,5.0,23.32
17,2,2016,35000,0,1,0,22.9,1248,74,5.0,6.25
18,8,2010,35277,1,0,0,7.81,5461,362.9,5.0,30.0
24,3,2016,54620,0,0,0,21.66,1498,103.52,5.0,9.86
24,10,2012,136997,0,0,0,17.2,1968,138.1,5.0,8.5
10,7,2019,14322,1,1,0,21.1,814,55.2,5.0,4.23
27,6,2012,65634,0,1,0,22.07,1199,73.9,5.0,3.5
5,8,2016,6000,1,1,0,20.63,1198,67.06,5.0,2.5
9,8,2013,33280,1,1,0,19.4,1198,86.8,5.0,2.39
18,4,2013,29000,1,0,0,14.8,1595,120.7,5.0,11.25
9,7,2015,42831,0,1,0,26.0,1498,98.6,5.0,7.11
26,0,2016,90000,0,1,0,12.99,2494,100.6,7.0,10.9
17,0,2017,24005,1,1,0,20.4,1197,81.80,5.0,6.2
16,9,2012,32792,0,1,0,15.1,2179,140,7.0,7.9
8,7,2014,147898,0,1,0,22.7,1498,89.84,5.0,4.42
26,9,2012,131765,0,1,0,13.0,2982,168.5,7.0,13.5
27,2,2013,65000,0,0,0,21.5,1498,108.5,5.0,6.25
8,6,2010,66123,0,1,2,20.0,1399,68,5.0,2.1
2,9,2015,41000,0,0,0,15.3,2993,258,5.0,45.0
18,3,2017,23550,0,0,0,19.27,2143,167.62,5.0,33.66
9,1,2012,45000,1,1,2,19.4,1198,86.8,5.0,3.65
10,4,2013,60000,1,1,0,20.36,1197,78.9,5.0,2.75
18,1,2016,44414,0,0,0,17.9,2143,170,5.0,42.5
10,8,2019,1000,1,1,0,18.9,1197,81.86,5.0,6.5
1,9,2012,62500,0,0,2,17.68,1968,174.33,5.0,19.0
27,9,2013,21000,1,0,2,14.4,1598,103.6,5.0,4.45
19,6,2017,8525,0,0,2,16.6,1998,112,5.0,23.0
10,1,2014,29000,0,1,0,22.54,1396,88.73,5.0,8.35
1,9,2014,40000,0,0,0,17.68,1968,174.33,5.0,22.95
4,6,2012,88000,0,1,0,25.44,936,57.6,5.0,1.5
24,7,2012,53537,1,0,0,13.7,1798,157.75,5.0,6.89
8,2,2006,216000,0,1,2,17.8,1399,68,5.0,1.45
2,5,2014,51000,0,0,0,22.48,1995,190,5.0,33.5
4,6,2007,118500,1,1,0,12.9,1598,102.5,5.0,1.25
27,5,2012,63000,0,1,0,22.07,1199,73.9,5.0,4.2
23,9,2015,25000,0,1,0,19.98,1461,108.5,8.0,6.75
18,1,2014,37382,0,0,0,13.0,2143,201.1,5.0,32.0
17,7,2017,24773,1,1,0,21.4,1197,83.1,5.0,7.5
10,4,2012,62000,0,1,0,22.32,1582,126.32,5.0,4.6
10,7,2017,52340,1,1,0,19.81,1086,68.05,5.0,4.04
16,7,2016,56739,0,1,0,15.4,1997,120,7.0,10.31
15,3,2018,36091,0,0,0,12.7,2179,187.7,5.0,55.76
8,2,2010,120000,0,1,0,20.0,1399,68,5.0,2.6
17,9,2016,33000,0,1,0,25.47,1248,88.50,7.0,8.5
9,8,2014,52000,0,1,0,25.8,1498,98.6,5.0,3.5
10,6,2015,43571,1,1,0,20.36,1197,78.9,5.0,3.55
9,8,2013,50000,0,1,0,25.8,1498,98.6,5.0,3.25
24,5,2008,113000,0,1,0,17.5,1896,106,5.0,4.5
23,4,2014,90000,0,1,0,19.87,1461,83.8,5.0,5.35
16,2,2017,29000,0,1,2,17.45,1493,100,7.0,6.5
17,9,2016,20000,0,1,0,24.3,1248,88.5,5.0,9.0
10,7,2016,61012,1,1,0,18.6,1197,81.83,5.0,6.0
24,6,2009,87459,1,1,0,14.7,1390,85,5.0,2.75
25,10,2010,70500,1,1,0,15.64,1193,64.1,5.0,1.5
1,4,2015,64103,0,0,0,15.73,1968,174.33,5.0,19.9
24,9,2014,76000,1,0,0,14.7,1798,177.5,5.0,10.0
26,4,2014,104000,0,1,0,23.59,1364,67.06,5.0,3.0
18,7,2014,37245,1,0,0,14.8,1595,120.7,5.0,11.96
9,8,2013,45000,0,1,0,27.4,1498,98.6,5.0,3.25
10,6,2012,117837,0,1,2,22.32,1582,126.32,5.0,4.75
23,9,2014,30000,0,1,0,20.46,1461,83.8,5.0,5.95
10,4,2015,27057,1,1,2,15.29,1591,121.3,5.0,8.15
17,9,2016,8500,1,0,0,20.51,998,67,5.0,4.22
18,8,2010,30500,1,0,0,11.74,1796,186,5.0,10.5
1,4,2012,56000,0,0,0,11.8,2967,246.7,5.0,45.0
10,10,2012,44000,1,1,2,19.81,1086,68.05,5.0,2.9
24,9,2017,10500,1,0,0,14.3,1598,103.52,5.0,8.9
24,5,2017,26000,1,0,0,14.67,1798,177.46,5.0,26.0
10,3,2018,25166,1,1,0,17.19,1197,81.86,5.0,8.22
9,8,2014,64000,0,1,2,25.8,1498,98.6,5.0,3.5
17,2,2004,61000,1,1,2,18.9,998,67.1,5.0,1.25
16,5,2013,107000,0,1,0,21.03,1461,65,5.0,3.7
18,3,2018,29161,0,0,0,19.27,2143,167.62,5.0,39.41
17,8,2013,32000,1,1,0,22.5,998,67.04,5.0,2.65
21,3,2015,46173,0,1,2,19.01,1461,108.5,5.0,8.92
19,7,2017,26327,1,0,0,16.82,1998,189.08,4.0,35.67
25,6,2007,200000,0,1,2,17.2,1396,53.5,5.0,0.85
4,7,2016,60813,1,1,2,18.6,1199,76.8,5.0,3.32
27,9,2012,45000,0,1,0,22.07,1199,73.9,5.0,3.6
17,5,2016,64000,0,1,0,22.9,1248,74,5.0,6.8
8,8,2012,41284,0,1,0,20.0,1399,68.05,5.0,2.5
26,7,2019,14165,0,0,0,11.36,2755,171.5,7.0,19.64
10,9,2011,67000,0,0,2,11.72,2199,194.3,7.0,7.0
9,8,2011,32572,1,1,0,17.4,1497,117.3,5.0,3.87
10,7,2018,14960,1,1,0,18.6,1197,81.83,5.0,6.27
18,7,2015,55980,0,0,0,19.27,2143,167.62,5.0,18.12
4,9,2013,74000,0,1,0,25.44,936,57.6,5.0,2.65
10,7,2015,56847,0,1,0,22.54,1396,88.73,5.0,7.2
26,3,2015,121374,0,1,0,12.99,2494,100.6,7.0,14.3
17,2,2013,52000,0,1,0,20.77,1248,88.76,7.0,6.9
26,9,2014,118000,0,1,0,12.8,2494,102,7.0,10.75
9,7,2016,33915,1,1,0,17.8,1497,117.3,5.0,8.09
2,0,2014,82002,0,0,0,17.05,1995,184,5.0,18.5
10,9,2017,33000,0,1,0,24.0,1120,70,5.0,4.75
17,2,2016,34000,0,1,0,28.09,1248,88.5,5.0,8.45
24,8,2012,55000,0,1,0,20.5,1598,103.6,5.0,3.5
10,7,2006,160538,0,1,0,13.1,1493,82,5.0,1.8
27,6,2014,60000,0,1,2,19.91,1498,103.6,5.0,3.7
9,3,2017,49575,1,1,0,18.7,1199,88.7,5.0,7.17
10,6,2010,83000,1,1,0,19.81,1086,68.05,5.0,1.75
10,7,2018,51346,0,0,0,16.38,1995,183,5.0,21.99
26,10,2017,43000,0,1,0,13.68,2393,147.8,7.0,18.65
17,6,2011,35000,1,1,3,19.7,796,35,5.0,1.85
17,3,2017,27872,1,1,2,20.4,1197,81.80,5.0,5.95
10,9,2014,16514,1,1,0,18.9,1197,82,5.0,3.75
17,10,2012,120000,0,1,0,22.9,1248,74,5.0,3.75
10,5,2008,143275,0,1,0,22.0,1582,126.2,5.0,2.6
10,9,2010,52000,1,1,0,17.0,1197,80,5.0,2.8
18,3,2017,29819,0,0,0,11.57,2987,254.79,5.0,61.29
18,1,2014,57000,0,1,2,15.8,2148,170,5.0,18.0
17,5,2014,88500,0,1,0,23.2,1248,73.94,5.0,4.35
10,1,2016,28000,0,1,0,19.67,1582,126.2,5.0,13.75
17,10,2010,67000,1,1,0,19.0,998,66.1,5.0,2.0
23,4,2016,26000,0,1,0,19.64,1461,108.45,5.0,10.0
6,4,2010,120000,0,1,0,17.8,1248,76,5.0,1.65
2,3,2017,51982,0,0,0,16.55,2993,258,5.0,45.77
10,1,2010,36000,1,1,2,20.36,1197,78.9,5.0,3.25
26,10,2016,47000,0,1,0,12.8,2494,102,7.0,12.8
17,9,2002,60000,1,1,3,17.3,993,60,5.0,0.55
17,5,2018,31025,0,1,0,28.4,1248,74,5.0,7.15
16,10,2013,105000,0,1,2,12.05,2179,120,8.0,7.0
25,10,2017,121900,0,1,0,22.95,1248,74,5.0,3.75
8,9,2017,22695,1,1,0,18.88,999,123.24,5.0,8.5
17,6,2012,73000,0,1,0,23.4,1248,74,5.0,4.35
17,7,2016,32227,1,1,0,22.74,796,47.3,5.0,3.26
9,6,2011,55000,1,1,0,17.0,1497,118,5.0,4.21
1,7,2018,11287,0,0,0,12.07,2967,241.4,7.0,70.36
24,9,2009,48000,0,0,2,17.0,1896,105,5.0,2.95
10,7,2012,54308,1,1,0,17.1,1591,121.3,5.0,4.28
9,6,2009,78442,1,0,0,16.8,1497,118,5.0,3.57
10,8,2013,46000,0,1,0,21.9,1396,88.8,5.0,3.11
10,3,2014,45051,1,0,0,15.0,1396,98.6,5.0,5.96
27,5,2011,69000,0,1,0,20.54,1598,103.6,5.0,4.7
9,0,2014,49000,1,1,0,17.4,1497,117.3,5.0,6.9
25,10,2018,45000,0,1,0,22.95,1248,74,5.0,5.25
2,10,2015,64000,0,0,0,18.48,1995,177,5.0,28.0
17,4,2009,60000,1,1,0,18.9,1061,67,5.0,1.35
9,4,2015,62178,1,1,0,18.2,1199,88.7,5.0,4.85
27,3,2012,58006,0,1,0,15.0,1896,105,5.0,6.7
10,5,2010,74000,1,1,0,20.36,1197,78.9,5.0,3.1
18,7,2015,77771,0,0,0,19.27,2143,170,5.0,18.64
10,10,2012,45275,1,1,0,20.36,1197,78.9,5.0,2.8
26,2,2016,48000,0,1,0,13.68,2393,147.8,7.0,20.25
1,7,2015,31652,0,0,0,17.68,1968,174.33,5.0,26.78
26,5,2010,109000,0,1,2,12.99,2494,100.6,7.0,8.26
27,9,2015,31978,1,1,0,16.47,1198,73.9,5.0,3.89
17,5,2011,70000,1,1,0,20.92,998,67.1,5.0,2.1
9,9,2017,15000,1,0,0,18.0,1497,117.3,5.0,12.69
25,3,2013,59138,0,1,0,17.0,1405,70,5.0,2.58
1,7,2014,61726,0,0,0,17.68,1968,174.33,5.0,20.77
18,4,2015,48000,0,0,0,17.9,2143,136,5.0,20.26
17,5,2014,77815,1,0,0,23.1,998,67.04,5.0,4.25
18,5,2017,29000,0,0,0,17.9,2143,201.15,5.0,57.0
15,4,2017,44000,0,0,0,12.7,2179,187.7,5.0,44.0
27,5,2011,108626,0,1,0,20.54,1598,103.6,5.0,3.65
17,5,2012,71791,1,1,0,14.0,796,35,5.0,2.05
9,7,2012,91931,1,1,0,18.5,1198,86.8,5.0,3.13
25,5,2000,158000,0,1,2,14.07,2956,83.1,7.0,1.5
25,10,2012,91183,0,1,0,18.0,1248,75,5.0,2.85
17,4,2012,65000,1,1,0,18.9,998,67.1,5.0,2.65
16,5,2015,88428,0,1,0,16.0,2179,140,7.0,10.6
25,10,2008,138000,0,1,2,17.1,1396,70,5.0,1.25
17,9,2018,18000,1,1,0,16.02,1373,93.7,7.0,8.25
9,9,2011,60000,1,0,0,11.7,2354,177.6,5.0,4.45
17,8,2012,48000,0,1,0,19.3,1248,73.9,5.0,3.7
8,5,2009,160000,0,1,0,17.8,1399,68,5.0,2.8
9,8,2008,40000,1,1,0,17.7,1497,78,5.0,1.8
1,7,2014,51495,0,0,0,17.68,1968,174.33,5.0,21.95
2,9,2011,30000,0,0,0,9.52,2993,313,4.0,49.0
1,3,2017,97430,0,0,0,14.75,2967,245,7.0,62.67
10,10,2012,83000,0,1,0,23.0,1396,90,5.0,5.5
10,1,2009,37000,1,0,3,16.95,1197,78.9,5.0,2.95
9,7,2016,28503,1,0,0,19.0,1199,88.7,5.0,6.86
17,5,2015,76496,0,1,0,25.2,1248,74,5.0,6.15
10,10,2011,79152,1,1,2,18.5,1197,82.85,5.0,3.3
27,8,2011,32000,1,1,0,16.47,1198,73.9,5.0,2.55
17,0,2009,35000,1,1,0,19.7,796,46.3,5.0,1.5
26,2,2004,105000,1,0,2,11.3,1794,125,5.0,2.5
17,2,2006,56000,1,1,2,19.7,796,46.3,5.0,1.4
25,10,2012,73000,0,1,0,21.12,1248,88.8,5.0,3.4
17,10,2012,38000,1,1,0,19.7,796,46.3,5.0,2.25
24,8,2013,775000,0,0,0,19.3,1968,141,5.0,7.5
26,8,2008,80000,1,0,0,11.3,1794,125,5.0,2.8
10,3,2016,24973,1,1,0,18.6,1197,81.83,5.0,7.66
17,2,2016,45000,0,1,0,24.3,1248,88.5,5.0,7.15
9,4,2010,87430,1,1,0,17.0,1497,118,5.0,3.5
25,5,2014,133944,0,1,2,18.0,1248,75,5.0,3.5
9,8,2013,57000,0,1,0,25.8,1498,98.6,5.0,3.45
10,3,2016,27904,1,1,0,21.1,814,55.2,5.0,3.55
2,7,2015,30717,0,0,2,21.76,1995,190,5.0,25.99
10,1,2012,80000,0,1,0,22.32,1582,126.32,5.0,5.25
25,0,2013,47304,0,1,0,21.02,1248,88.8,5.0,2.9
24,6,2005,100000,1,0,0,14.45,1984,227,5.0,2.05
17,10,2017,30000,1,1,0,24.07,998,67.1,5.0,3.75
8,9,2014,68000,0,1,0,22.7,1498,89.84,5.0,6.75
4,8,2011,21000,1,1,2,18.0,995,62,5.0,0.95
12,5,2017,21000,0,0,0,19.33,1999,177,5.0,52.0
9,6,2007,119000,1,1,3,13.1,1997,141.1,5.0,3.91
24,7,2019,13747,1,0,0,14.67,1798,177.46,5.0,27.3
10,2,2009,620000,1,1,0,20.36,1197,78.9,5.0,2.7
17,4,2013,70000,0,1,0,22.9,1248,74,5.0,3.5
17,9,2016,18000,1,0,0,18.5,1197,83.14,5.0,6.2
21,2,2011,83000,0,1,0,23.08,1461,63.1,5.0,2.75
17,9,2015,130000,0,1,0,23.4,1248,74,5.0,3.25
8,10,2012,63400,0,1,0,17.8,1399,67,5.0,3.25
17,8,2003,65000,1,1,0,17.3,993,60,5.0,0.65
19,10,2017,8350,1,1,0,13.8,1998,192,5.0,35.0
26,8,2014,45000,0,1,0,23.59,1364,67.05,5.0,3.25
17,8,2018,26200,1,1,0,24.7,796,47.3,5.0,2.9
17,1,2011,11000,1,1,3,18.9,796,47,5.0,2.9
2,1,2009,90000,0,0,2,11.0,2993,235,5.0,17.75
21,9,2015,74000,1,0,2,11.07,2496,179.5,5.0,8.25
10,3,2015,37081,1,0,0,18.9,1197,82,5.0,5.77
17,5,2017,39000,0,1,0,24.3,1248,88.5,5.0,9.49
1,9,2008,99000,0,0,3,12.07,2967,241.4,7.0,12.95
18,2,2015,38000,0,0,0,17.9,2143,136,5.0,20.0
17,2,2007,72000,1,1,3,16.1,796,37,4.0,1.0
23,2,2015,93000,0,1,2,20.45,1461,83.8,5.0,7.1
26,9,2017,5900,0,1,0,21.43,1364,87.2,5.0,16.5
18,2,2014,25000,0,1,0,15.8,2148,170,5.0,26.0
17,5,2010,68000,0,1,2,21.1,1248,73.9,5.0,3.2
9,7,2017,35676,1,0,0,16.0,1497,117.3,7.0,9.48
10,7,2015,74310,0,1,0,24.4,1120,71,5.0,4.0
18,6,2014,59364,0,0,0,14.21,2143,203,5.0,26.5
18,7,2014,41380,1,0,2,14.8,1595,120.7,5.0,11.77
18,1,2017,33900,0,0,0,15.0,2143,204,5.0,37.0
9,9,2016,28000,1,1,0,17.8,1497,117.3,5.0,8.75
9,2,2011,93982,1,1,0,17.0,1497,118,5.0,3.75
10,10,2010,95000,1,1,0,16.2,1599,103.2,5.0,2.5
12,9,2017,9000,1,0,0,13.5,1999,246.74,5.0,34.5
9,4,2015,52516,1,1,0,18.0,1198,86.7,5.0,4.65
19,1,2015,20000,1,0,0,18.86,1598,122,4.0,32.0
18,3,2017,56451,0,0,0,13.5,2987,282,5.0,62.81
10,2,2014,37000,1,1,0,21.1,814,55.2,5.0,3.25
17,8,2014,17400,1,1,0,20.51,998,67.04,5.0,3.1
17,3,2011,90207,0,1,0,21.1,1248,73.9,5.0,3.91
2,2,2011,89616,0,0,0,16.07,1995,181,5.0,11.0
25,10,2014,85000,0,1,0,13.49,2179,138.03,5.0,3.5
1,2,2014,79271,0,0,0,20.38,1968,143,5.0,16.5
15,5,2012,56000,0,0,0,12.7,2179,187.7,5.0,30.0
18,10,2010,85001,0,0,2,12.0,2987,224,7.0,28.0
20,5,2018,12000,0,0,0,13.5,2477,175.56,7.0,28.0
17,6,2010,125000,1,1,0,19.7,796,46.3,5.0,0.92
17,10,2013,53000,1,1,0,14.0,1061,64,5.0,2.75
15,3,2017,34990,0,0,0,12.7,2179,187.7,5.0,53.83
10,10,2011,49768,1,1,2,17.01,1591,121.3,5.0,4.95
2,5,2013,56000,0,0,0,16.73,2993,218,5.0,33.5
12,1,2013,75000,0,0,0,14.74,2993,270.9,5.0,27.95
24,5,2010,57000,1,0,0,13.7,1798,157.75,5.0,7.25
1,7,2017,37542,0,0,0,15.73,1968,174.33,5.0,25.71
15,3,2014,95649,0,0,0,12.7,2179,187.7,5.0,29.67
18,6,2013,35299,0,0,0,14.84,2143,170,5.0,19.0
16,7,2017,28464,0,1,0,15.4,2179,120,7.0,13.05
2,9,2015,41000,0,0,0,21.76,1995,190,5.0,25.5
9,10,2017,9000,1,1,0,15.4,1497,117.3,7.0,8.5
28,2,2010,92098,0,0,2,16.0,2400,215,5.0,7.25
10,10,2005,5834,1,1,0,13.2,1495,94,5.0,0.8
10,6,2017,40250,1,1,0,17.19,1197,81.86,5.0,6.9
18,3,2018,22397,1,0,0,11.5,2996,367,5.0,70.99
10,8,2015,20800,1,1,2,21.1,814,55.2,5.0,2.25
10,7,2018,40322,1,1,0,18.9,1197,81.86,5.0,5.5
9,9,2013,52576,1,1,0,13.0,1493,100,5.0,4.35
27,8,2010,55000,1,1,0,16.47,1198,73.9,5.0,2.25
1,9,2016,47000,1,0,0,15.26,1798,187.74,5.0,24.5
